name,blockNumber,timestamp,timeSpent,size,difficulty,totalDifficulty
win1,1,1613127347,0,537,4192256,8386560
win1,2,1613127508,161,537,4190209,12576769
win1,3,1613127596,88,537,4188163,16764932
win1,4,1613127692,96,537,4186118,20951050
win1,5,1613127797,105,537,4184074,25135124
win1,6,1613127814,17,537,4182031,29317155
win1,7,1613127854,40,537,4179989,33497144
win1,8,1613128055,201,537,4177948,37675092
win1,9,1613128175,120,537,4175908,41851000
win1,10,1613128401,226,537,4173869,46024869
win1,11,1613128477,76,537,4171831,50196700
win1,12,1613128544,67,537,4169794,54366494
win1,13,1613128577,33,537,4167758,58534252
win1,14,1613128657,80,537,4165723,62699975
win1,15,1613128673,16,537,4163689,66863664
win1,16,1613128969,296,537,4161656,71025320
win1,17,1613129023,54,537,4159624,75184944
win1,18,1613129139,116,537,4157593,79342537
win1,19,1613129159,20,537,4155563,83498100
win1,20,1613129301,142,537,4153534,87651634
win1,21,1613129329,28,537,4151506,91803140
win1,22,1613129330,1,537,4153533,95956673
win1,23,1613129451,121,537,4151505,100108178
win1,24,1613129564,113,537,4149478,104257656
win1,25,1613129592,28,537,4147452,108405108
win1,26,1613129685,93,537,4145427,112550535
win1,27,1613129815,130,537,4143403,116693938
win1,28,1613129831,16,537,4141380,120835318
win1,29,1613129847,16,537,4139358,124974676
win1,30,1613130160,313,537,4137337,129112013
win1,31,1613130238,78,537,4135317,133247330
win1,32,1613130360,122,537,4133298,137380628
