action,attribute,txGas,blockGas,time
devices.registerDevice,,6721975,320577,951
devices.registerDevice,,6721975,333360,1367
devices.registerDevice,,6721975,277945,1487
devices.registerDevice,,6721975,331370,1215
devices.registerDevice,,6721975,286619,1629
devices.registerDevice,,6721975,349630,1189
devices.registerDevice,,6721975,295292,1718
devices.registerDevice,,6721975,299630,2090
devices.registerDevice,,6721975,351978,1848
devices.registerDevice,,6721975,356316,1595
devices.registerDevice,,6721975,371316,1531
devices.registerDevice,,6721975,370405,2149
devices.registerDevice,,6721975,379990,2379
devices.registerDevice,,6721975,325653,2460
devices.registerDevice,,6721975,388665,1939
devices.registerDevice,,6721975,393003,2163
devices.registerDevice,,6721975,338666,2142
devices.registerDevice,,6721975,343003,2437
devices.registerDevice,,6721975,395353,2357
devices.registerDevice,,6721975,351678,2838
devices.registerDevice,,6721975,356016,2642
devices.registerDevice,,6721975,408367,2752
devices.registerDevice,,6721975,412705,3142
devices.registerDevice,,6721975,417043,2669
devices.registerDevice,,6721975,425718,2940
devices.registerDevice,,6721975,430056,2846
devices.registerDevice,,6721975,439809,3041
devices.registerDevice,,6721975,448484,3521
devices.registerDevice,,6721975,438733,3488
devices.registerDevice,,6721975,447408,3008
devices.registerDevice,,6721975,451746,3301
devices.registerDevice,,6721975,456084,3594
devices.registerDevice,,6721975,464761,3771
devices.registerDevice,,6721975,469099,3661
devices.registerDevice,,6721975,416749,3585
devices.registerDevice,,6721975,487530,4035
devices.registerDevice,,6721975,425426,3549
devices.registerDevice,,6721975,485403,3865
devices.registerDevice,,6721975,490792,3867
devices.registerDevice,,6721975,495131,3760
devices.registerDevice,,6721975,503807,4159
devices.registerDevice,,6721975,508146,3674
devices.registerDevice,,6721975,503810,4055
devices.registerDevice,,6721975,526578,4713
devices.registerDevice,,6721975,512489,4240
devices.registerDevice,,6721975,525502,4210
devices.registerDevice,,6721975,529841,4314
devices.registerDevice,,6721975,534181,4458
devices.registerDevice,,6721975,542859,4732
devices.registerDevice,,6721975,556952,4512
devices.registerDevice,,6721975,565629,5837
devices.registerDevice,,6721975,490510,5772
devices.registerDevice,,6721975,551540,5883
devices.registerDevice,,6721975,564555,6095
devices.registerDevice,,6721975,568895,5808
devices.registerDevice,,6721975,573234,5839
devices.registerDevice,,6721975,581911,6316
devices.registerDevice,,6721975,600345,6765
devices.registerDevice,,6721975,577578,5856
devices.registerDevice,,6721975,586255,6486
devices.registerDevice,,6721975,529566,6340
devices.registerDevice,,6721975,533906,6128
devices.registerDevice,,6721975,538246,5657
devices.registerDevice,,6721975,612291,4457
devices.registerDevice,,6721975,620970,5427
devices.registerDevice,,6721975,616634,6228
devices.registerDevice,,6721975,555605,4357
devices.registerDevice,,6721975,625314,5069
devices.registerDevice,,6721975,625315,5461
devices.registerDevice,,6721975,638333,4872
devices.registerDevice,,6721975,642673,5725
devices.registerDevice,,6721975,577294,4855
devices.registerDevice,,6721975,660031,5973
devices.registerDevice,,6721975,655695,6798
devices.registerDevice,,6721975,590327,6147
devices.registerDevice,,6721975,682809,6774
devices.registerDevice,,6721975,599009,6385
devices.registerDevice,,6721975,674109,6426
devices.registerDevice,,6721975,681737,6569
devices.registerDevice,,6721975,686078,6965
devices.registerDevice,,6721975,616372,6498
devices.registerDevice,,6721975,694760,6833
devices.registerDevice,,6721975,717534,7978
devices.registerDevice,,6721975,726214,8986
devices.registerDevice,,6721975,633735,8016
devices.registerDevice,,6721975,713175,8459
devices.registerDevice,,6721975,642417,8573
devices.registerDevice,,6721975,646758,8756
devices.registerDevice,,6721975,734875,8413
devices.registerDevice,,6721975,756601,9165
devices.registerDevice,,6721975,733830,9120
devices.registerDevice,,6721975,769622,9386
devices.registerDevice,,6721975,733837,9216
devices.registerDevice,,6721975,752245,9032
devices.registerDevice,,6721975,677147,9271
devices.registerDevice,,6721975,759878,9142
devices.registerDevice,,6721975,771845,9478
devices.registerDevice,,6721975,768561,9567
devices.registerDevice,,6721975,777242,10061
devices.registerDevice,,6721975,785922,10056
devices.registerDevice,,6721975,703197,9445
devices.registerDevice,,6721975,799996,10478
devices.registerDevice,,6721975,711880,10049
devices.registerDevice,,6721975,716222,9761
devices.registerDevice,,6721975,720565,10200
devices.registerDevice,,6721975,807636,10637
devices.registerDevice,,6721975,729248,9230
devices.registerDevice,,6721975,829338,10247
devices.registerDevice,,6721975,737933,10186
devices.registerDevice,,6721975,820667,10514
devices.registerDevice,,6721975,825009,10702
devices.registerDevice,,6721975,833690,10635
devices.registerDevice,,6721975,846699,11417
devices.registerDevice,,6721975,869490,11454
devices.registerDevice,,6721975,864075,11161
devices.registerDevice,,6721975,872757,11644
devices.registerDevice,,6721975,842387,10961
devices.registerDevice,,6721975,859746,11245
devices.registerDevice,,6721975,864090,9918
devices.registerDevice,,6721975,872772,11474
devices.registerDevice,,6721975,885793,11474
devices.registerDevice,,6721975,881459,11407
devices.registerDevice,,6721975,906446,12298
devices.registerDevice,,6721975,917260,11960
devices.registerDevice,,6721975,807415,11222
devices.registerDevice,,6721975,925918,12636
devices.registerDevice,,6721975,816101,11231
devices.registerDevice,,6721975,820444,11471
devices.registerDevice,,6721975,924878,12800
devices.registerDevice,,6721975,920543,12529
devices.registerDevice,,6721975,950925,12634
devices.registerDevice,,6721975,956348,13379
devices.registerDevice,,6721975,916217,12583
devices.registerDevice,,6721975,933579,12430
devices.registerDevice,,6721975,850847,12580
devices.registerDevice,,6721975,946606,12833
devices.registerDevice,,6721975,965020,13356
devices.registerDevice,,6721975,959634,12810
devices.registerDevice,,6721975,990016,13716
