action,attribute,txGas,blockGas,time
Regions.registerRegion,1,6721975,137979,3128
Regions.addTree,id=1;size=101,6721975,3150863,7018
Regions.registerRegion,2,6721975,125827,384
Regions.addTree,id=2;size=17,6721975,389150,896
Regions.registerRegion,3,6721975,128651,445
Regions.addTree,id=3;size=19,6721975,456931,1183
Regions.registerRegion,4,6721975,171794,447
Regions.addTree,id=4;size=16,6721975,337755,898
Regions.registerRegion,5,6721975,134143,476
Regions.addTree,id=5;size=18,6721975,429956,979
Regions.registerRegion,6,6721975,136919,535
Regions.addTree,id=6;size=24,6721975,654043,1455
Regions.registerRegion,7,6721975,139467,444
Regions.addTree,id=7;size=29,6721975,871849,2042
Regions.registerRegion,8,6721975,142231,465
Regions.addTree,id=8;size=34,6721975,1067640,2516
