action,attribute,txGas,blockGas,time
devices.registerDevice,,6721975,994369,1224
devices.registerDevice,,6721975,439079,1147
devices.registerDevice,,6721975,496208,1378
devices.registerDevice,,6721975,470058,1080
devices.registerDevice,,6721975,508473,1457
devices.registerDevice,,6721975,524418,1393
devices.registerDevice,,6721975,645380,1635
devices.registerDevice,,6721975,296324,1659
devices.registerDevice,,6721975,1009977,2184
devices.registerDevice,,6721975,463111,1908
devices.registerDevice,,6721975,520242,1816
devices.registerDevice,,6721975,494091,1870
devices.registerDevice,,6721975,532507,2375
devices.registerDevice,,6721975,322348,2307
devices.registerDevice,,6721975,662851,2133
devices.registerDevice,,6721975,697269,2383
devices.registerDevice,,6721975,1049013,2795
devices.registerDevice,,6721975,502148,2528
devices.registerDevice,,6721975,559279,2452
devices.registerDevice,,6721975,533129,2878
devices.registerDevice,,6721975,571545,2708
devices.registerDevice,,6721975,583154,2346
devices.registerDevice,,6721975,708454,3266
devices.registerDevice,,6721975,727873,3019
devices.registerDevice,,6721975,1081489,3283
devices.registerDevice,,6721975,534624,2916
devices.registerDevice,,6721975,598319,3036
devices.registerDevice,,6721975,572170,3208
devices.registerDevice,,6721975,610586,3419
devices.registerDevice,,6721975,622195,3183
devices.registerDevice,,6721975,747495,3356
devices.registerDevice,,6721975,760350,3336
devices.registerDevice,,6721975,1128189,4069
devices.registerDevice,,6721975,580231,3475
devices.registerDevice,,6721975,637362,3453
devices.registerDevice,,6721975,611214,3718
devices.registerDevice,,6721975,649631,3841
devices.registerDevice,,6721975,661240,3584
devices.registerDevice,,6721975,786541,4201
devices.registerDevice,,6721975,807054,3827
devices.registerDevice,,6721975,1166143,4557
devices.registerDevice,,6721975,619278,4104
devices.registerDevice,,6721975,676411,4037
devices.registerDevice,,6721975,650262,4456
devices.registerDevice,,6721975,819100,4504
devices.registerDevice,,6721975,700288,4206
devices.registerDevice,,6721975,829928,4283
devices.registerDevice,,6721975,845009,4518
devices.registerDevice,,6721975,1206287,5142
devices.registerDevice,,6721975,658329,4665
devices.registerDevice,,6721975,715462,4710
devices.registerDevice,,6721975,689314,5424
devices.registerDevice,,6721975,723393,5232
devices.registerDevice,,6721975,495881,4928
devices.registerDevice,,6721975,870074,5539
devices.registerDevice,,6721975,885157,5615
devices.registerDevice,,6721975,1244245,6018
devices.registerDevice,,6721975,697382,5863
devices.registerDevice,,6721975,754516,5822
devices.registerDevice,,6721975,728369,5806
devices.registerDevice,,6721975,762448,5930
devices.registerDevice,,6721975,774058,6501
devices.registerDevice,,6721975,901474,6016
devices.registerDevice,,6721975,924213,6500
devices.registerDevice,,6721975,1283304,7097
devices.registerDevice,,6721975,736441,6442
devices.registerDevice,,6721975,793574,6567
devices.registerDevice,,6721975,768522,6569
devices.registerDevice,,6721975,802601,6660
devices.registerDevice,,6721975,813117,6744
devices.registerDevice,,6721975,940533,6788
devices.registerDevice,,6721975,963261,6766
devices.registerDevice,,6721975,1322364,7558
devices.registerDevice,,6721975,775502,7318
devices.registerDevice,,6721975,826072,7195
devices.registerDevice,,6721975,806490,7370
devices.registerDevice,,6721975,834006,7108
devices.registerDevice,,6721975,852180,7077
devices.registerDevice,,6721975,979598,7892
devices.registerDevice,,6721975,1001244,7805
devices.registerDevice,,6721975,1361430,7975
devices.registerDevice,,6721975,1016452,7614
devices.registerDevice,,6721975,871702,7917
devices.registerDevice,,6721975,845557,7431
devices.registerDevice,,6721975,879636,7838
devices.registerDevice,,6721975,892341,7878
devices.registerDevice,,6721975,1025228,8434
devices.registerDevice,,6721975,1045743,8460
devices.registerDevice,,6721975,1393932,8806
devices.registerDevice,,6721975,849296,8205
devices.registerDevice,,6721975,910770,8672
devices.registerDevice,,6721975,884625,8091
devices.registerDevice,,6721975,918705,8779
devices.registerDevice,,6721975,930316,8447
devices.registerDevice,,6721975,1064299,9086
devices.registerDevice,,6721975,1083719,8926
devices.registerDevice,,6721975,1439569,9078
devices.registerDevice,,6721975,888368,9000
devices.registerDevice,,6721975,949842,9038
devices.registerDevice,,6721975,923699,9025
devices.registerDevice,,6721975,1111956,9467
devices.registerDevice,,6721975,969390,9201
devices.registerDevice,,6721975,1103373,9765
devices.registerDevice,,6721975,1120569,9821
devices.registerDevice,,6721975,717254,8701
devices.registerDevice,,6721975,920880,9609
devices.registerDevice,,6721975,988918,9695
devices.registerDevice,,6721975,962774,9720
devices.registerDevice,,6721975,993609,9926
devices.registerDevice,,6721975,1008466,10009
devices.registerDevice,,6721975,1142451,10268
devices.registerDevice,,6721975,1166211,10384
devices.registerDevice,,6721975,1506806,10722
devices.registerDevice,,6721975,966522,10724
devices.registerDevice,,6721975,1021434,10197
devices.registerDevice,,6721975,1001855,10907
devices.registerDevice,,6721975,1031596,10353
devices.registerDevice,,6721975,1048641,10461
devices.registerDevice,,6721975,1174967,10480
devices.registerDevice,,6721975,1206387,11059
devices.registerDevice,,6721975,1545901,11012
devices.registerDevice,,6721975,1005605,10907
