action,attribute,txGas,blockGas,time
devices.registerDevice,,6721975,390266,803
devices.registerDevice,,6721975,336374,1502
devices.registerDevice,,6721975,370521,1679
devices.registerDevice,,6721975,350386,1625
devices.registerDevice,,6721975,368653,2036
devices.registerDevice,,6721975,391354,1640
devices.registerDevice,,6721975,404365,2136
devices.registerDevice,,6721975,409475,1967
devices.registerDevice,,6721975,413175,2224
devices.registerDevice,,6721975,380746,2394
devices.registerDevice,,6721975,396681,2245
devices.registerDevice,,6721975,400035,2330
devices.registerDevice,,6721975,407566,2784
devices.registerDevice,,6721975,414387,2837
devices.registerDevice,,6721975,427265,2255
devices.registerDevice,,6721975,435502,2529
devices.registerDevice,,6721975,452212,2512
devices.registerDevice,,6721975,413406,2788
devices.registerDevice,,6721975,436927,2861
devices.registerDevice,,6721975,429533,3202
devices.registerDevice,,6721975,427402,2782
devices.registerDevice,,6721975,451313,3203
devices.registerDevice,,6721975,464579,4142
devices.registerDevice,,6721975,474542,3856
devices.registerDevice,,6721975,490129,3668
devices.registerDevice,,6721975,454608,3452
devices.registerDevice,,6721975,460761,3834
devices.registerDevice,,6721975,465509,3705
devices.registerDevice,,6721975,485646,3831
devices.registerDevice,,6721975,493469,3485
devices.registerDevice,,6721975,504356,3519
devices.registerDevice,,6721975,514706,3764
devices.registerDevice,,6721975,529172,4175
devices.registerDevice,,6721975,498992,4089
devices.registerDevice,,6721975,499804,4007
devices.registerDevice,,6721975,502280,4083
devices.registerDevice,,6721975,524692,3979
devices.registerDevice,,6721975,529400,4119
devices.registerDevice,,6721975,544392,4173
devices.registerDevice,,6721975,548526,4058
devices.registerDevice,,6721975,565237,4360
devices.registerDevice,,6721975,534924,4553
devices.registerDevice,,6721975,536848,4205
devices.registerDevice,,6721975,549933,5179
devices.registerDevice,,6721975,563741,4625
devices.registerDevice,,6721975,570441,4565
devices.registerDevice,,6721975,583576,4862
devices.registerDevice,,6721975,592804,4903
devices.registerDevice,,6721975,607379,5283
devices.registerDevice,,6721975,579304,5739
devices.registerDevice,,6721975,577023,5886
devices.registerDevice,,6721975,577043,5973
devices.registerDevice,,6721975,600801,6057
devices.registerDevice,,6721975,609494,5847
devices.registerDevice,,6721975,623618,6125
devices.registerDevice,,6721975,629732,6275
devices.registerDevice,,6721975,645309,6296
devices.registerDevice,,6721975,619483,6456
devices.registerDevice,,6721975,616959,6394
devices.registerDevice,,6721975,622654,6982
devices.registerDevice,,6721975,640847,6709
devices.registerDevice,,6721975,638655,7189
