action,attribute,txGas,blockGas,time
Regions.registerRegion,1,6721975,137979,3960
Regions.addRegionCells,id=1;length=64,6721975,2175061,5414
Regions.addRegionCells,id=1;length=64,6721975,2518236,9470
Regions.addRegionCells,id=1;length=64,6721975,2872853,14994
Regions.addRegionCells,id=1;length=64,6721975,3227270,18138
Regions.addRegionCells,id=1;length=64,6721975,3583347,24488
Regions.addRegionCells,id=1;length=64,6721975,3940040,28839
Regions.addRegionCells,id=1;length=64,6721975,4297553,34912
Regions.addRegionCells,id=1;length=64,6721975,4655502,40245
Regions.addRegionCells,id=1;length=64,6721975,5014367,45293
Regions.addRegionCells,id=1;length=64,6721975,5373728,48113
Regions.addRegionCells,id=1;length=64,6721975,5734689,53253
Regions.addRegionCells,id=1;length=64,6721975,6095498,57739
Regions.addRegionCells,id=1;length=64,6721975,6456983,64119
